ep_num,title,air_date,subject,ticker,parent,status,source_note
35,SoundJam (iTunes),2017-05-31,SoundJam MP,AAPL,Apple Inc,parent,"S1E38; https://www.acquired.fm/episodes/episode-38-soundjam-itunes; SoundJam MP acquired by Apple 2000, became iTunes; public parent AAPL"
36,Whole Foods Market,2017-06-20,Whole Foods Market,WFM,,public,S1E39; https://www.acquired.fm/episodes/episode-39-whole-foods-market; Amazon deal announced 2017-06-16 but not yet closed on air date; Whole Foods still independent public company (closed 2017-08-28)
37,Activision Blizzard,2017-07-12,Activision Blizzard,ATVI,,public,"S1E40; https://www.acquired.fm/episodes/episode-40-activision-blizzard; public since Activision/Vivendi Games merger 2008, ticker ATVI until Microsoft buyout closed 2023"
38,Booking.com with Jetsetter & Room 77 CEO Drew Patterson,2017-07-25,Booking.com,BKNG,Booking Holdings (Priceline Group),parent,"S1E41; https://www.acquired.fm/episodes/episode-41-bookingcom-with-jetsetter-room-77-ceo-drew-patterson; Booking.com is a subsidiary of Priceline Group, renamed Booking Holdings 2018; ticker PCLN renamed BKNG"
39,Opsware (with Michel Feaster),2017-08-04,Opsware,HPE,Hewlett Packard Enterprise,parent,"S1E42; https://www.acquired.fm/episodes/episode-42-opsware-with-special-guest-michel-feaster; Opsware acquired by HP 2007 for cash; HP split 2015 into HPQ/HPE, former Opsware software business remained with HPE until spin-merger with Micro Focus closed 2017-09-01"
40,The Square IPO,2017-08-16,Square Inc.,XYZ,,public,"S1E43; https://www.acquired.fm/episodes/the-uber-ipo; Square IPO'd Nov 2015, already public; renamed Block Inc., ticker SQ changed to XYZ Dec 2021, use current symbol"
41,AOL and Time Warner (with the Internet History Podcast),2017-09-17,AOL,VZ,Verizon Communications,parent,S1E44; https://www.acquired.fm/episodes/episode-44-aol-time-warner-with-the-internet-history-podcast; AOL spun off from Time Warner 2009 then acquired by Verizon 2015 for cash; public parent VZ on air date
42,"HTC, Google and the Future of Mobile",2017-09-21,HTC Corporation,2498.TW,,public,"S1E45; https://www.acquired.fm/episodes/episode-45-htc-google-and-the-future-of-mobile; Google's Sept 2017 deal (announced day before air date) only acquired HTC's Pixel design team/license for $1.1B, not the whole company; HTC Corp remained independent, Taiwan-listed (TWSE:2498), no US ADR"
43,Blue Bottle Coffee,2017-10-07,Blue Bottle Coffee,,,skipped,"S1E46; https://www.acquired.fm/episodes/blue-bottle-coffee; Nestle acquired majority (~68%) stake in Blue Bottle Sept 2017, before air date; public parent Nestle, US OTC ADR NSRGY; REVIEW: Nestle deal announced 2017-09-14 but closed late Oct 2017, after air date -> skipped (Nestle later sold Blue Bottle to Centurium 2026-04-27)"
44,The Atlassian IPO,2017-11-06,Atlassian,TEAM,,public,"S1E47; https://www.acquired.fm/episodes/the-atlassian-ipo; Atlassian IPO'd Dec 2015, already public"
45,Qualcomm - Broadcom,2017-11-20,Qualcomm,QCOM,,public,"S1E48; https://www.acquired.fm/episodes/qualcomm-broadcom; Broadcom's hostile takeover bid announced Nov 2017; Qualcomm remained independent public company, deal later blocked by US government March 2018 and never closed"
46,The Stitch Fix IPO,2017-12-04,Stitch Fix,SFIX,,public,"S1E49; https://www.acquired.fm/episodes/the-stitch-fix-ipo; Stitch Fix IPO'd 2017-11-17, before air date"
47,Apple - Beats,2017-12-11,Beats Electronics,AAPL,Apple Inc,parent,"S1E50; https://www.acquired.fm/episodes/episode-50-apple-beats; Beats acquired by Apple, deal closed Aug 2014, all-cash ~$3B; public parent AAPL"
48,Zappos (with Alfred Lin),2018-01-22,Zappos,AMZN,Amazon.com,parent,S2E1; https://www.acquired.fm/episodes/season-2-episode-1zappos-with-alfred-lin; Zappos acquired by Amazon 2009 all-stock deal; public parent AMZN
49,Raising a Seed Round with Against Gravity CEO Nick Fajt,2018-02-06,Against Gravity,,,skipped,"S2E2; https://www.acquired.fm/episodes/season-2-episode-2raising-a-seed-round-with-against-gravity-ceo-nick-fajt; educational episode on seed fundraising; subject company (later Rec Room Inc) private, no public parent"
50,Nest,2018-02-19,Nest Labs,GOOGL,Alphabet Inc (Google),parent,"S2E3; https://www.acquired.fm/episodes/season-2-episode-3nest; Nest acquired by Google 2014 cash deal (~$3.2B), folded into Google hardware Feb 2018; public parent GOOGL"
51,"SoftBank, Fortress and the Vision Fund",2018-03-22,SoftBank,SFTBY,,public,"S2E4; https://www.acquired.fm/episodes/season-2-episode-4softbank-fortress-and-the-vision-fund; SoftBank Group traded publicly on Tokyo Stock Exchange throughout episode period, US OTC ADR SFTBY"
52,The Dropbox IPO,2018-03-25,Dropbox,DBX,,public,"S2E5; https://www.acquired.fm/episodes/the-uber-ipo; Dropbox IPO'd 2018-03-23 on Nasdaq, already public by air date"
53,Spotify’s Direct Listing,2018-04-05,Spotify,SPOT,,public,"S2E6; https://www.acquired.fm/episodes/season-2-episode-6spotifys-direct-listing; Spotify direct-listed on NYSE 2018-04-03, public by air date"
54,PowerPoint,2018-05-04,PowerPoint (Forethought),MSFT,Microsoft,parent,"S2E7; https://www.acquired.fm/episodes/season-2-episode-7powerpoint; PowerPoint's creator Forethought acquired by Microsoft in 1987, public parent MSFT"
55,T-Mobile / Sprint,2018-05-21,T-Mobile,TMUS,,public,"S2E8; https://www.acquired.fm/episodes/season-2-episode-8t-mobile-sprint; episode covers T-Mobile/Sprint merger, T-Mobile US is the public surviving entity, ticker TMUS (uncertain: episode also covers Sprint, itself public until acquired by T-Mobile in 2020)"
56,GitHub,2018-06-05,GitHub,,,skipped,"S2E9; https://www.acquired.fm/episodes/season-2-episode-9github; Microsoft-GitHub deal announced 2018-06-04 but did not close until 2018-10-26, so GitHub was still private/independent on air date (uncertain: could argue announced deal should count as parent=MSFT)"
57,The Rover-DogVacay Merger (with Rover CEO Aaron Easterly),2018-06-17,Rover,,,skipped,"S2E10; https://www.acquired.fm/episodes/season-2-episode-10the-rover-dogvacay-merger-with-rover-ceo-aaron-easterly; Rover and DogVacay both private companies, no public parent"
58,Tesla,2018-07-16,Tesla,TSLA,,public,S3E1; https://www.acquired.fm/episodes/the-slack-dpo; Tesla publicly traded on Nasdaq since 2010 IPO
59,The Xiaomi IPO,2018-08-05,Xiaomi,1810.HK,,public,"S3E2; https://www.acquired.fm/episodes/the-shopify-ipo; Xiaomi IPO'd 2018-07-09 on HKEX (1810.HK), public by air date; using US OTC ADR XIACY per US-listing preference"
60,The Sonos IPO,2018-08-20,Sonos,SONO,,public,"S3E3; https://www.acquired.fm/episodes/the-shopify-ipo; Sonos IPO'd 2018-08-02 on Nasdaq, public by air date"
61,Recode (with Kara Swisher),2018-09-10,Recode,,,skipped,"S3E4; https://www.acquired.fm/episodes/season-3-episode-4recode-with-kara-swisher; Recode merged into Vox Media in 2015, Vox Media is private, no public parent"
62,Alibaba,2018-09-23,Alibaba,BABA,,public,S3E5; https://www.acquired.fm/episodes/alibaba; Alibaba publicly traded on NYSE since 2014 IPO
63,Behance (with Scott Belsky),2018-10-01,Behance,ADBE,Adobe,parent,"S3E6; https://www.acquired.fm/episodes/behance-with-scott-belsky; Behance acquired by Adobe Dec 2012, public parent ADBE"
64,Venmo (live with Andrew Kortina),2018-10-29,Venmo,PYPL,PayPal Holdings,parent,"S3E7; https://www.acquired.fm/episodes/season-3-episode-7-venmo-sf-live-show-with-andrew-kortina; Venmo acquired by Braintree 2012, Braintree acquired by PayPal (then under eBay) 2013, PayPal spun off from eBay as public PYPL 2015-07-20; Venmo under public parent PYPL by air date"
65,Netflix (Part 1),2018-11-11,Netflix,NFLX,,public,S3E8; https://www.acquired.fm/episodes/netflix-part-1; Netflix publicly traded on Nasdaq since 2002 IPO
66,Netflix (Part 2),2018-11-25,Netflix,NFLX,,public,"S3E9; https://www.acquired.fm/episodes/netflix-part-2; same as Part 1, multi-part episode"
67,Tencent,2018-12-16,Tencent,TCEHY,,public,"S3E10; https://www.acquired.fm/episodes/season-3-episode-10-tencent; Tencent publicly traded on HKEX (700.HK) since 2004, using US OTC ADR TCEHY"
68,ESPN,2019-01-21,ESPN,DIS,Walt Disney Company,parent,"S4E1; https://www.acquired.fm/episodes/season-4-episode-1-espn; ESPN 80% owned by Disney (20% Hearst) since 1990s, public parent DIS"
69,ARM & SoftBank,2019-02-03,ARM Holdings,SFTBY,SoftBank Group,parent,"S4E2; https://www.acquired.fm/episodes/arm-softbank; ARM Holdings acquired by SoftBank 2016 for $32B, public parent SFTBY; ARM later IPO'd on Nasdaq 2023-09-14 but SoftBank retained ~90% stake, not treated as full divestiture (uncertain judgment call, no divest event recorded)"
70,Instagram Revisited (with Emily White),2019-02-25,Instagram,META,Meta Platforms (Facebook),parent,"S4E3; https://www.acquired.fm/episodes/instagram-revisited-with-emily-white; Instagram acquired by Facebook 2012, public parent now META (renamed from FB 2021)"
71,The Lyft IPO,2019-03-30,Lyft,LYFT,,public,"S4E4; https://www.acquired.fm/episodes/the-uber-ipo; Lyft IPO'd 2019-03-29 on Nasdaq, public by air date (air date is Saturday, buy at next close per rules)"
72,The Pinterest IPO,2019-04-23,Pinterest,PINS,,public,"S4E5; https://www.acquired.fm/episodes/the-pinterest-ipo; Pinterest IPO'd 2019-04-18 on NYSE, public by air date"
73,The Uber IPO,2019-05-11,Uber,UBER,,public,"S4E6; https://www.acquired.fm/episodes/the-uber-ipo; Uber Uber IPO'd 2019-05-10; episode aired Sat 2019-05-11 per RSS, bought Mon 2019-05-13 on NYSE, public by air date (air date is Saturday, buy at next close per rules)"
74,The Electronic Arts IPO (with Trip Hawkins),2019-05-27,Electronic Arts,EA,,public,"S4E7; https://www.acquired.fm/episodes/the-electronic-arts-ipo-with-trip-hawkins; EA publicly traded on Nasdaq since 1989 IPO (air date is Memorial Day holiday, buy at next close per rules)"
75,The Zoom IPO (with Santi Subotovsky),2019-06-18,Zoom,ZM,,public,"S4E8; https://www.acquired.fm/episodes/the-zoom-ipo-with-santi-subotovsky; Zoom IPO'd 2019-04-18 on Nasdaq, public by air date"
76,The Slack DPO,2019-06-24,Slack,WORK,,public,"S4E9; https://www.acquired.fm/episodes/the-slack-dpo; Slack direct-listed on NYSE 2019-06-20 as WORK, already public on air date"
77,Superhuman (with CEO Rahul Vohra),2019-06-27,Superhuman,,,skipped,"S4E10; https://www.acquired.fm/episodes/superhuman; private email startup, never went public"
78,Huawei,2019-07-22,Huawei,,,skipped,"S5E1; https://www.acquired.fm/episodes/huawei; privately/employee-owned, no public listing"
79,The Shopify IPO,2019-08-06,Shopify,SHOP,,public,S5E2; https://www.acquired.fm/episodes/the-shopify-ipo; public on NYSE as SHOP since 2015
80,Google Maps,2019-08-26,Google,GOOGL,,public,"S5E3; https://www.acquired.fm/episodes/google-maps; Maps is a core in-house Alphabet/Google product, not an acquired subsidiary, GOOGL public"
81,Sequoia Capital (Part 1),2019-09-26,Sequoia Capital,,,skipped,"S5E4; https://www.acquired.fm/episodes/sequoia-capital-part-1; private VC partnership, no public stock"
82,Atari (with Nolan Bushnell),2019-10-15,Atari,ALATA.PA,,public,"S5E5; https://www.acquired.fm/episodes/atari-with-nolan-bushnell; current Atari SA trades on Euronext Paris/Growth as ALATA, no US ADR"
83,The WeWork “Acquisition” (with Dan Primack),2019-10-24,WeWork,,,skipped,"S5E6; https://www.acquired.fm/episodes/the-wework-acquisition-with-dan-primack; SoftBank rescue deal announced 2019-10-22 gave SoftBank ~80% economic stake in still-private WeWork, buy public parent SoftBank (Tokyo 9984); REVIEW: SoftBank never controlled WeWork at air date -> skipped"
84,"Disney, Plus",2019-11-25,Disney,DIS,,public,"S5E7; https://www.acquired.fm/episodes/disney-plus; Disney+ is a Disney product, DIS public"
85,TikTok,2019-12-08,TikTok,,,skipped,"S5E8; https://www.acquired.fm/episodes/tiktok; owned by ByteDance, private, no public parent"
86,Convoy (with CEO Dan Lewis),2019-12-19,Convoy,,,skipped,"S5E9; https://www.acquired.fm/episodes/convoy-with-ceo-dan-lewis; private freight startup, shut down 2023, never public"
87,The Lean Startup and the Long-Term Stock Exchange (with Eric Ries),2019-12-29,Long-Term Stock Exchange,,,skipped,"S5E10; https://www.acquired.fm/episodes/season-5-episode-10-the-lean-startup-and-the-long-term-stock-exchange-with-eric-ries; episode about a methodology/private exchange operator, no public stock"
88,WhatsApp,2020-01-28,WhatsApp,META,Facebook (Meta),parent,"S6E1; https://www.acquired.fm/episodes/whatsapp; acquired by Facebook 2014, public parent renamed META in 2022"
89,Sequoia Capital Part II (with Doug Leone),2020-02-17,Sequoia Capital,,,skipped,"S6E2; https://www.acquired.fm/episodes/sequoia-capital-part-ii-with-doug-leone; private VC partnership, no public stock"
90,The Top 10 Acquisitions of All-Time,2020-03-17,,,,skipped,"S6E3; https://www.acquired.fm/episodes/acquired-top-ten-the-best-acquisitions-of-all-time; list/retrospective episode, not about one company"
91,Adapting Episode 1: Canlis,2020-03-20,Canlis,,,skipped,"S6E4; https://www.acquired.fm/episodes/adapting-episode-3-intel; private Seattle restaurant, no public listing"
92,Adapting Episode 2: Sequoia’s Black Swan Memo (with Roelof Botha),2020-03-30,Sequoia Capital,,,skipped,"S6E5; https://www.acquired.fm/episodes/sequoias-black-swan-memo; private VC partnership, no public stock"
93,Adapting Episode 3: Intel,2020-05-11,Intel,INTC,,public,S6E6; https://www.acquired.fm/episodes/adapting-episode-3-intel; public on NASDAQ as INTC
94,SpaceX,2020-05-26,SpaceX,,,skipped,"S6E7; https://www.acquired.fm/episodes/spacex; privately held, no public listing as of 2026-09-04"
95,Oprah (Harpo Studios),2020-06-25,Harpo Studios,,,skipped,S6E8; https://www.acquired.fm/episodes/oprah-harpo-studios; privately held production company / episode about a person
96,Pinduoduo,2020-07-16,Pinduoduo,PDD,,public,S7E1; https://www.acquired.fm/episodes/pinduoduo; US ADR on NASDAQ as PDD (now PDD Holdings)
97,Eventbrite (with Julia & Kevin Hartz),2020-08-25,Eventbrite,EB,,public,S7E2; https://www.acquired.fm/episodes/eventbrite; public on NYSE as EB since 2018
98,Epic Games,2020-09-01,Epic Games,,,skipped,"S7E3; https://www.acquired.fm/episodes/epic-games; privately held (Tencent minority stake only), no public listing"
99,The NBA,2020-09-30,,,,skipped,"S7E4; https://www.acquired.fm/episodes/the-nba; episode about a sports league, not a single company"
100,Twitter (with Dick Costolo),2020-10-28,Twitter,TWTR,,public,"S7E5; https://www.acquired.fm/episodes/twitter-with-dick-costolo; public on NYSE as TWTR on air date, later delisted 2022, use historical ticker"
101,Virgin Galactic,2020-11-22,Virgin Galactic,SPCE,,public,"S7E6; https://www.acquired.fm/episodes/virgin-galactic; Virgin Galactic publicly traded via SPAC merger since Oct 2019, ticker SPCE"
102,DoorDash,2020-12-09,DoorDash,DASH,,public,"S7E7; https://www.acquired.fm/episodes/doordash; DoorDash IPO'd and began trading 2020-12-09, same as air date"
103,Airbnb,2020-12-10,Airbnb,ABNB,,public,"S7E8; https://www.acquired.fm/episodes/airbnb; Airbnb IPO'd and began trading 2020-12-10, same as air date"
104,Bitcoin,2021-01-18,,,,skipped,"S8E1; https://www.acquired.fm/episodes/bitcoin; episode is about a cryptocurrency asset, not a company"
105,The New York Times Company,2021-02-17,New York Times,NYT,,public,S8E2; https://www.acquired.fm/episodes/the-new-york-times-company; NYT publicly traded on NYSE
106,Meituan,2021-03-10,Meituan,MPNGY,,public,"S8E3; https://www.acquired.fm/episodes/meituan; primary listing 3690.HK, buying US unsponsored ADR MPNGY per US-listing preference"
107,Rec Room Part II (with CEO Nick Fajt),2021-03-23,Rec Room,,,skipped,"S8E4; https://www.acquired.fm/episodes/rec-room-part-ii-with-ceo-nick-fajt; Rec Room is privately held, no public parent"
108,Berkshire Hathaway Part I,2021-04-20,Berkshire Hathaway,BRK-B,,public,"S8E5; https://www.acquired.fm/episodes/berkshire-hathaway-part-i; Berkshire Hathaway publicly traded, using Class B shares"
109,Berkshire Hathaway Part II,2021-05-12,Berkshire Hathaway,BRK-B,,public,S8E6; https://www.acquired.fm/episodes/berkshire-hathaway-part-ii; same subject as Part I
110,Berkshire Hathaway Part III,2021-06-06,Berkshire Hathaway,BRK-B,,public,S8E7; https://www.acquired.fm/episodes/berkshire-hathaway-part-iii; same subject as Parts I-II
111,Ethereum,2021-07-05,,,,skipped,"S8E8; https://www.acquired.fm/episodes/ethereum; episode is about a cryptocurrency network, not a company"
112,Andreessen Horowitz Part I,2021-07-26,,,,skipped,"S9E1; https://www.acquired.fm/episodes/andreessen-horowitz-part-i; a16z is a privately held venture capital firm, no public parent"
113,Andreessen Horowitz Part II,2021-08-09,,,,skipped,"S9E2; https://www.acquired.fm/episodes/andreessen-horowitz-part-ii; same subject as Part I, privately held"
114,TSMC,2021-09-06,TSMC,TSM,,public,S9E3; https://www.acquired.fm/episodes/tsmc; TSMC trades as US ADR under TSM
115,Standard Oil Part I,2021-09-21,,,,skipped,"S9E4; https://www.acquired.fm/episodes/standard-oil-part-i; Standard Oil was broken up by antitrust action in 1911, no single surviving public entity to buy as of air date"
116,Standard Oil Part II,2021-10-18,,,,skipped,"S9E5; https://www.acquired.fm/episodes/standard-oil-part-ii; same subject as Part I, dissolved 1911, no single successor"
117,Not Boring (with Packy McCormick),2021-12-02,,,,skipped,"S9E6; https://www.acquired.fm/episodes/not-boring-with-packy-mccormick; episode is about a newsletter/writer (Packy McCormick), not a company"
118,FTX (with Sam Bankman-Fried & Mario Gabriele),2021-12-14,,,,skipped,"S9E7; https://www.acquired.fm/episodes/ftx-with-sam-bankman-fried-mario-gabriele; FTX was privately held at air date, no public parent (collapsed Nov 2022 while still private)"
119,CAA (with Michael Ovitz),2021-12-21,,,,skipped,"S9E8; https://www.acquired.fm/episodes/caa-with-michael-ovitz; Creative Artists Agency is privately held, no public parent"
120,Taylor Swift (Acquired’s Version),2022-01-23,,,,skipped,"S10E1; https://www.acquired.fm/episodes/taylor-swift-acquireds-version; episode is about a person/artist, not a company"
121,Peloton,2022-02-10,Peloton,PTON,,public,S10E2; https://www.acquired.fm/episodes/peloton; Peloton publicly traded on NASDAQ
122,SONY,2022-03-07,Sony,SONY,,public,S10E3; https://www.acquired.fm/episodes/sony; Sony Group trades as US ADR under SONY
123,Altimeter (with Brad Gerstner),2022-03-14,,,,skipped,"S10E4; https://www.acquired.fm/episodes/altimeter-with-brad-gerstner; Altimeter Capital is a privately held hedge/VC fund, no public parent"
124,Nvidia Part I: The GPU Company (1993-2006),2022-03-27,Nvidia,NVDA,,public,S10E5; https://www.acquired.fm/episodes/nvidia-the-gpu-company-1993-2006; Nvidia publicly traded on NASDAQ
125,Nvidia Part II: The Machine Learning Company (2006-2022),2022-04-20,Nvidia,NVDA,,public,S10E6; https://www.acquired.fm/episodes/nvidia-the-machine-learning-company-2006-2022; same subject as Part I
126,Walmart,2022-07-18,Walmart,WMT,,public,"S11E1; https://www.acquired.fm/episodes/walmart; Walmart public on air date, ticker WMT"
127,Amazon.com,2022-08-16,Amazon,AMZN,,public,"S11E2; https://www.acquired.fm/episodes/amazon-com; Amazon public on air date, ticker AMZN"
128,Amazon Web Services,2022-09-05,Amazon,AMZN,,public,"S11E3; https://www.acquired.fm/episodes/amazon-web-services; AWS is an organic division of Amazon (never a separate company), buy parent-equivalent public ticker AMZN"
129,Benchmark Part I,2022-09-27,Benchmark,,,skipped,"S11E4; https://www.acquired.fm/episodes/benchmark-part-ii-the-dinner; Benchmark is a private VC partnership, no public ticker or parent"
130,Benchmark Part II: The Dinner,2022-10-17,Benchmark,,,skipped,"S11E5; https://www.acquired.fm/episodes/benchmark-part-ii-the-dinner; Benchmark is a private VC partnership, no public ticker or parent"
131,Qualcomm,2022-11-14,Qualcomm,QCOM,,public,"S11E6; https://www.acquired.fm/episodes/qualcomm; Qualcomm public on air date, ticker QCOM"
132,Enron,2022-11-28,Enron,,,skipped,"S11E7; https://www.acquired.fm/episodes/enron; Enron collapsed and was delisted in 2001, no tradable ticker on 2022 air date"
133,Stratechery (with Ben Thompson),2022-12-05,Stratechery,,,skipped,"S11E8; https://www.acquired.fm/episodes/stratechery-with-ben-thompson; Stratechery is Ben Thompson's private newsletter business, not a public company"
134,LVMH,2023-02-21,LVMH,LVMUY,,public,"S12E2; https://www.acquired.fm/episodes/lvmh; LVMH public on air date, US ADR LVMUY (Paris primary MC.PA)"
135,Nintendo's Origins,2023-03-15,Nintendo,NTDOY,,public,"S12E3; https://www.acquired.fm/episodes/nintendo; Nintendo public on air date, US ADR NTDOY (Tokyo primary 7974.T)"
